用户ID,特征,清洁效率,耗材,对比,时间
1001,70m²公寓｜情侣｜无宠物,覆盖率:85%｜日均清扫:45min｜漏扫区域:沙发底部（高度不足）,主刷寿命:剩余120天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,清洁效率高于同类用户,2026-02
1001,70m²公寓｜情侣｜无宠物,覆盖率:88%｜日均清扫:2次｜漏扫区域:电线缠绕,主刷寿命:剩余95天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:良好,清洁效率与同类用户持平,2026-05
1001,70m²公寓｜情侣｜无宠物,覆盖率:82%｜日均清扫:1次｜漏扫区域:短毛地毯边缘,主刷寿命:剩余70天｜边刷磨损:中度｜尘盒清理:每3天｜拖布状态:一般,清洁效率与同类用户持平,2026-09
1002,90m²四居｜三代同堂｜无宠物,覆盖率:82%｜日均清扫:3次｜漏扫区域:沙发底部（高度不足）,主刷寿命:剩余110天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,清洁效率高于同类用户,2026-01
1002,90m²四居｜三代同堂｜无宠物,覆盖率:91%｜日均清扫:2次｜漏扫区域:桌腿间隙,主刷寿命:剩余85天｜边刷磨损:中度｜尘盒清理:每天｜拖布状态:良好,清洁效率高于同类用户,2026-06
1002,90m²四居｜三代同堂｜无宠物,覆盖率:86%｜日均清扫:2次｜漏扫区域:门槛处,主刷寿命:剩余60天｜边刷磨损:中度｜尘盒清理:每2天｜拖布状态:一般,清洁效率与同类用户持平,2026-11
1003,120m²别墅｜独居｜养猫,覆盖率:92%｜日均清扫:1次｜漏扫区域:楼梯转角,主刷寿命:剩余130天｜边刷磨损:轻度｜尘盒清理:每3天｜拖布状态:良好,清洁效率高于同类用户,2026-03
1003,120m²别墅｜独居｜养猫,覆盖率:94%｜日均清扫:1次｜漏扫区域:无,主刷寿命:剩余100天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,清洁效率高于同类用户,2026-07
1003,120m²别墅｜独居｜养猫,覆盖率:89%｜日均清扫:2次｜漏扫区域:地毯边缘,主刷寿命:剩余75天｜边刷磨损:中度｜尘盒清理:每天｜拖布状态:良好,清洁效率与同类用户持平,2026-10
1004,85m²三居｜老人独居｜无宠物,覆盖率:91%｜日均清扫:1次｜漏扫区域:床边杂物区,主刷寿命:剩余115天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,操作较同类用户熟练,2026-02
1004,85m²三居｜老人独居｜无宠物,覆盖率:87%｜日均清扫:1次｜漏扫区域:餐椅腿间隙,主刷寿命:剩余90天｜边刷磨损:中度｜尘盒清理:每3天｜拖布状态:一般,操作与同类用户持平,2026-08
1004,85m²三居｜老人独居｜无宠物,覆盖率:90%｜日均清扫:1次｜漏扫区域:无,主刷寿命:剩余65天｜边刷磨损:中度｜尘盒清理:每2天｜拖布状态:良好,操作与同类用户持平,2026-12
1005,55m²一居｜情侣｜养狗,覆盖率:87%｜日均清扫:3次｜漏扫区域:电线缠绕,主刷寿命:剩余105天｜边刷磨损:中度｜尘盒清理:每3天｜拖布状态:良好,清洁效率与同类用户持平,2026-04
1005,55m²一居｜情侣｜养狗,覆盖率:93%｜日均清扫:2次｜漏扫区域:无,主刷寿命:剩余80天｜边刷磨损:轻度｜尘盒清理:每天｜拖布状态:良好,清洁效率高于同类用户,2026-05
1005,55m²一居｜情侣｜养狗,覆盖率:84%｜日均清扫:2次｜漏扫区域:沙发底部（高度不足）,主刷寿命:剩余55天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:一般,清洁效率低于同类用户,2026-10
1006,75m²两居｜三代同堂｜无宠物,覆盖率:86%｜日均清扫:2次｜漏扫区域:桌腿间隙,主刷寿命:剩余118天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,清洁效率与同类用户持平,2026-01
1006,75m²两居｜三代同堂｜无宠物,覆盖率:83%｜日均清扫:1次｜漏扫区域:门槛处,主刷寿命:剩余92天｜边刷磨损:中度｜尘盒清理:每3天｜拖布状态:一般,清洁效率低于同类用户,2026-07
1006,75m²两居｜三代同堂｜无宠物,覆盖率:81%｜日均清扫:2次｜漏扫区域:短毛地毯边缘,主刷寿命:剩余68天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:一般,清洁效率低于同类用户,2026-09
1007,100m²三居｜双职工｜无宠物,覆盖率:88%｜日均清扫:2次｜漏扫区域:无,主刷寿命:剩余125天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,清洁效率高于同类用户,2026-03
1007,100m²三居｜双职工｜无宠物,覆盖率:90%｜日均清扫:1次｜漏扫区域:电线缠绕,主刷寿命:剩余98天｜边刷磨损:中度｜尘盒清理:每3天｜拖布状态:良好,清洁效率与同类用户持平,2026-06
1007,100m²三居｜双职工｜无宠物,覆盖率:85%｜日均清扫:2次｜漏扫区域:地毯边缘,主刷寿命:剩余72天｜边刷磨损:中度｜尘盒清理:每天｜拖布状态:一般,清洁效率与同类用户持平,2026-12
1008,80m²四居｜三代同堂｜养猫,覆盖率:83%｜日均清扫:3次｜漏扫区域:沙发底部（高度不足）,主刷寿命:剩余112天｜边刷磨损:中度｜尘盒清理:每天｜拖布状态:良好,清洁效率低于同类用户,2026-02
1008,80m²四居｜三代同堂｜养猫,覆盖率:87%｜日均清扫:2次｜漏扫区域:桌腿间隙,主刷寿命:剩余86天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:一般,清洁效率低于同类用户,2026-08
1008,80m²四居｜三代同堂｜养猫,覆盖率:84%｜日均清扫:2次｜漏扫区域:猫砂盆周边,主刷寿命:剩余60天｜边刷磨损:重度｜尘盒清理:每2天｜拖布状态:一般,清洁效率低于同类用户,2026-11
1009,110m²三居｜养宠家庭｜猫狗双全,覆盖率:86%｜日均清扫:3次｜漏扫区域:猫砂盆周边,主刷寿命:剩余108天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:良好,毛发清理效率高于同类用户,2026-04
1009,110m²三居｜养宠家庭｜猫狗双全,覆盖率:90%｜日均清扫:2次｜漏扫区域:无,主刷寿命:剩余82天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:良好,毛发清理效率高于同类用户,2026-09
1009,110m²三居｜养宠家庭｜猫狗双全,覆盖率:82%｜日均清扫:2次｜漏扫区域:短毛地毯深层,主刷寿命:剩余58天｜边刷磨损:重度｜尘盒清理:每天｜拖布状态:一般,毛发清理效率与同类用户持平,2026-11
1010,65m²两居｜独居｜无宠物,覆盖率:89%｜日均清扫:1次｜漏扫区域:无,主刷寿命:剩余122天｜边刷磨损:轻度｜尘盒清理:每3天｜拖布状态:良好,清洁效率与同类用户持平,2026-05
1010,65m²两居｜独居｜无宠物,覆盖率:85%｜日均清扫:1次｜漏扫区域:书桌底部（高度不足）,主刷寿命:剩余96天｜边刷磨损:中度｜尘盒清理:每2天｜拖布状态:一般,清洁效率低于同类用户,2026-07
1010,65m²两居｜独居｜无宠物,覆盖率:92%｜日均清扫:2次｜漏扫区域:无,主刷寿命:剩余70天｜边刷磨损:轻度｜尘盒清理:每2天｜拖布状态:良好,清洁效率高于同类用户,2026-12
